0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.6,0.8
0.6,0.8
0.6,0.8
0.6,0.8
0.6,0.8
0.9,1.1
0.9,1.1
0.9,1.1
0.9,1.1
0.9,1.1
1.8,1.6
1.8,1.6
1.8,1.6
1.8,1.6
1.8,1.6
3.5,2.2
3.5,2.2
3.5,2.2
3.5,2.2
3.5,2.2
8.5,3.4
8.5,3.4
8.5,3.4
8.5,3.4
8.5,3.4
17.4,6
17.4,6
17.4,6
17.4,6
17.4,6
29.1,8.9
29.1,8.9
29.1,8.9
29.1,8.9
29.1,8.9
39.8,11.7
39.8,11.7
39.8,11.7
39.8,11.7
39.8,11.7
48.9,16.2
48.9,16.2
48.9,16.2
48.9,16.2
48.9,16.2
53.8,19.8
53.8,19.8
53.8,19.8
53.8,19.8
53.8,19.8
59.6,24.5
59.6,24.5
59.6,24.5
59.6,24.5
59.6,24.5
59.8,28
59.8,28
59.8,28
59.8,28
59.8,28
59.7,28.9
59.7,28.9
59.7,28.9
59.7,28.9
59.7,28.9
59.9,30.3
59.9,30.3
59.9,30.3
59.9,30.3
59.9,30.3
59.9,30.3
59.9,30.3
59.9,30.3
59.9,30.3
59.9,30.3
59.9,30.3
59.9,30.3
59.9,30.3
59.9,30.3
59.9,30.3
59.9,30.3
