1,1
0.99228,0.99364
0.9917,0.99316
0.99129,0.99285
0.99099,0.99261
0.99075,0.99242
0.99053,0.99224
0.99033,0.99208
0.99013,0.99192
0.98995,0.99178
0.9898,0.99165
0.98967,0.99153
0.98954,0.99141
0.98936,0.99127
0.98904,0.99108
0.98855,0.99082
0.98788,0.9905
0.98704,0.99011
0.98605,0.98968
0.98496,0.98922
0.98379,0.98876
0.98254,0.9883
0.98121,0.98784
0.97982,0.98736
0.97842,0.98688
0.97704,0.98639
0.97569,0.98588
0.97435,0.98535
0.97303,0.9848
0.97168,0.98422
0.9703,0.98361
0.96887,0.98297
0.96739,0.98229
0.96585,0.98156
0.96423,0.98075
0.96253,0.97987
0.96074,0.97891
0.95886,0.97787
0.95686,0.97674
0.95473,0.97553
0.95244,0.97422
0.94998,0.97281
0.94733,0.97129
0.94449,0.96965
0.94141,0.96789
0.93808,0.96599
0.93445,0.96393
0.9305,0.96171
0.92624,0.95929
0.92168,0.95668
0.91683,0.95384
0.91168,0.95077
0.9062,0.94744
0.90033,0.94381
0.89399,0.93986
0.8871,0.93554
0.87957,0.93079
0.87134,0.92556
0.86239,0.91982
0.85271,0.91356
0.84232,0.90677
0.83115,0.89939
0.81913,0.89134
0.80619,0.88259
0.79226,0.8731
0.7773,0.86283
0.76135,0.85179
0.74437,0.83991
0.72628,0.82711
0.70695,0.81331
0.68632,0.79843
0.66448,0.78251
0.64157,0.76555
0.61759,0.74747
0.59256,0.72813
0.56651,0.70741
0.53954,0.68535
0.5118,0.66199
0.48333,0.63726
0.4541,0.61104
0.42406,0.58317
0.39312,0.55365
0.36136,0.52249
0.32905,0.48965
0.29672,0.45518
0.26487,0.41923
0.23377,0.38253
0.20382,0.34551
0.17542,0.30865
0.14889,0.27248
0.12453,0.23749
0.10254,0.20419
0.08305,0.17302
0.06611,0.14434
0.05168,0.11845
0.03963,0.09553
0.0298,0.07564
0.02195,0.05875
0.01583,0.04473
0.01116,0.03335
0.0077,0.02433
